Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW11,SW_SPDT_312,SW-SMD_K3-1280S-K1,158.170996,-33.118051,0.0,top
U10,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,53.60907,-26.162,180.0,top
U11,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,69.85157,-26.162,180.0,top
U12,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,86.09407,-26.162,180.0,top
U13,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,102.33657,-26.162,180.0,top
U14,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,118.57907,-26.162,180.0,top
U2,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,118.641033,-58.908949,0.0,top
U3,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,102.398533,-58.908949,0.0,top
U4,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,86.156033,-58.908949,0.0,top
U5,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,69.913533,-58.908949,0.0,top
U6,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,53.671033,-58.908949,0.0,top
U7,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,44.196,-52.431949,-90.0,top
U8,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,44.196,-42.525949,-90.0,top
U9,XL-3528RGBC-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,44.196,-32.619949,-90.0,top
